,BREAD,EGG,CHEESE,PEACH,TOMATOES,PARMESAN,total
Riboflavin_(mg),0.3110746987951808,2.9165,1.9658800000000003,0.0615,0.48285714285714276,0.15000000000000002,5.887811841652324
Niacin_(mg),4.46602409638554,1.7875999999999999,2.012136000000001,1.849764705882353,7.757142857142858,0.6000000000000001,18.472667659410753
Panto_Acid_mg),0.5344959999999999,7.997578947368422,2.9161813333333333,0.22791176470588237,1.6925,,13.368668045407638
Vit_B6_(mg),0.1481560975609756,0.7264999999999999,0.525728,0.04905882352941177,0.5942857142857143,0.30000000000000004,2.3437286353761015
Folate_Tot_(µg),95.55,265.0,85.54285714285713,4.323529411764706,90.71428571428571,75.0,616.1306722689076
Folic_Acid_(µg),54.51428571428571,8.1,0.9714285714285713,0.0,0.0,0.0,63.58571428571428
Food_Folate_(µg),43.05,256.8,84.57142857142857,4.323529411764706,90.71428571428571,75.0,554.459243697479
Folate_DFE_(µg),133.32467532467533,270.7,86.17142857142856,4.323529411764706,90.71428571428571,75.0,660.2339190221543
Choline_Tot_ (mg),24.00580645161291,1155.2324324324322,112.31384615384623,7.459090909090909,102.1875,46.2,1447.3986759469824
Vit_B12_(µg),0.05376623376623376,5.828000000000001,6.2776000000000005,0.0,0.0,3.3000000000000003,15.459366233766236
Vit_A_IU,75.87692307692308,2982.9,3816.6239999999993,743.1176470588235,3000.3571428571427,453.0,11071.875712992889
Vit_A_RAE,13.705263157894736,612.1,1026.8363636363636,37.32352941176471,150.0,120.0,1959.9651562060228
Retinol_(µg),12.078947368421053,555.8,1003.7010101010101,0.0,0.0,117.0,1688.579957469431
Alpha_Carot_(µg),0.4571428571428571,249.1891891891892,2.8,0.8181818181818181,99.44444444444444,0.0,352.7089583089583
Beta_Carot_(µg),10.6875,603.7837837837837,269.89565217391305,393.68181818181813,1470.5555555555554,39.0,2787.6043096950707
Beta_Crypt_(µg),0.5523809523809523,38.37837837837838,3.3478260869565215,155.45454545454547,0.0,0.0,197.7331308722613
Lycopene_(µg),0.0,1.0810810810810811,0.0608695652173913,0.0,38351.666666666664,0.0,38352.80861731296
